question_number,question_text,marks,year,question_category,sub_category
1,Examine the pattern and trend of public expenditure on social services in the post-reforms period in India. To what extent this has been in consonance with achieving the objective of inclusive growth?,10,2024,Economics,"public expenditure, inclusive growth, social services"
2,What are the causes of persistent high food inflation in India? Comment on the effectiveness of the monetary policy of the RBI to control this type of inflation.,10,2024,Economics,"food inflation, monetary policy"
3,What were the factors responsible for the successful implementation of land reforms in some parts of the country? Elaborate.,10,2024,Agriculture,land reforms
4,Explain the role of millets for ensuring health and nutritional security in India.,10,2024,Agriculture,millets
5,"What is the present world scenario of intellectual property rights with respect to life materials? Although, India is second in the world to file patents, still only a few have been commercialized. Explain the reasons behind this less commercialization.",10,2024,Science and Technology,IPR
6,What is the technology being employed for electronic toll collection on highways? What are its advantages and limitations? What are the proposed changes that will make this process seamless? What are the transition hazards?,10,2024,Science and Technology,
7,Industrial pollution of river water is a significant environmental issue in India. Discuss the various mitigation measures to deal with this problem and also the Government's initiatives in this regard.,10,2024,Environment and Ecology,water pollution
8,What role do environmental NGOs and activists play in influencing Environmental Impact Assessment (EIA) outcomes for major projects in India? Cite four examples with all important details.,10,2024,Environment and Ecology,Environmental Impact Assessment
9,Explain how narco-terrorism has emerged as a serious threat across the country. Suggest suitable measures to counter narco-terrorism.,10,2024,Internal Security,narco terrorism
10,"Describe the context and salient features of the Digital Personal Data Protection Act, 2023.",10,2024,Polity,digital governance
11,Discuss the merits and demerits of the four ‘Labour Codes’ in the context of labour market reforms in India. What has been the progress so far in this regard?,15,2024,Economics,labour reforms
12,"What is the need for expanding the regional air connectivity in India? In this context, discuss the government’s UDAN Scheme and its achievements.",15,2024,Economics,air travel
13,What are the major challenges faced by Indian irrigation system in recent times? State the measures taken by the government for efficient irrigation management.,15,2024,Agriculture,irrigation
14,Elucidate the importance of buffer stocking for stabilizing agricultural prices in India. What are the challenges associated with storage of buffer stock? Discuss.,15,2024,Agriculture,"food inflation, buffer stock"
15,The world is facing an acute shortage of clean and safe freshwater. What are the alternative technologies which can solve this crisis? Briefly discuss any three such technologies citing their key merits and demerits.,15,2024,Science and Technology,water
16,What are asteroids? How real is the threat of them causing extinction of life? What strategies have been developed to prevent such a catastrophe?,15,2024,Science and Technology,space-asteroid
17,What is disaster resilience? How is it determined? Describe various elements of a resilience framework. Also mention the global targets of Sendai Framework for Disaster Risk Reduction (2015-2030).,15,2024,Disaster Management,sendai framework
18,Flooding in urban areas is an emerging climate-induced disaster. Discuss the causes of this disaster. Mention the features of two such major floods in the last two decades in India. Describe the policies and frameworks in India that aim at tackling such floods.,15,2024,Disaster Management,"flood, climate change"
19,India has a long and troubled border with China and Pakistan fraught with contentious issues. Examine the challenges along the border. Also give out the development being undertaken in these areas under the Border Area Development Programme (BADP) and Border Infrastructure and Management (BIM) Scheme.,15,2024,Internal Security,"border management, india-china, india-pakistan"
20,Social media and encrypting messaging apps pose a serious security challenge. What measures have been adopted at various levels to address the security problem of social media? Also suggest any other remedies to address the problem.,15,2024,Science and Technology,social media
1,"Faster economic growth requires increased share of the manufacturing sector in GDP, particularly of MSMEs. Comment on the present policies of the Government in this regard.",10,2023,Economics,
2,What is the status of digitalization in the Indian economy? Examine the problems faced in this regard and suggest improvements.,10,2023,Economics,
3,How does e-Technology help farmers in production and marketing of agricultural produce? Explain it.,10,2023,Agriculture,
4,State the objectives and measures of land reforms in India. Discuss how land ceiling policy on landholding can be considered as an effective reform under economic criteria.,10,2023,Economics,land reforms
5,Introduce the concept of Artificial Intelligence (AI). How does AI help clinical diagnosis? Do you perceive any threat to privacy of the individual in the use of AI in healthcare?,10,2023,Science and Technology,ai-healthcare
6,Discuss several ways in which microorganisms can help in meeting the current fuel shortage.,10,2023,Science and Technology,"biofuel, microorganisms "
7,"Dam failures are always catastrophic, especially on the downstream side, resulting in a colossal loss of life and property. Analyze the various causes of dam failures. Give two examples of large dam failures.",10,2023,Disaster Management ,dam failures
8,What is oil pollution? What are its impacts on the marine ecosystem? In what way is oil pollution particularly harmful for a country like India?,10,2023,Environment and Ecology,oil pollution 
9,Winning of 'Hearts and Minds' in terrorism-affected areas is an essential step in restoring the trust of the population. Discuss the measures adopted by the Government in this respect as part of the conflict resolution in Jammu and Kashmir.,10,2023,Internal Security,terrorism 
10,"The use of unmanned aerial vehicles (UAVs) by our adversaries across the borders to ferry arms/ammunitions, drugs, etc., is a serious threat to the internal security. Comment on the measures being taken to tackle this threat.",10,2023,Internal Security,border management 
11,Most of the unemployment in India is structural in nature. Examine the methodology adopted to compute unemployment in the country and suggest improvements.,15,2023,Economics,unemployment 
12,Distinguish between 'care economy' and 'monetized economy'. How can care economy be brought into monetized economy through women empowerment?,15,2023,Economics,
13,Explain the changes in cropping pattern in India in the context of changes in consumption pattern and marketing conditions.,15,2023,Agriculture,cropping pattern 
14,What are the direct and indirect subsidies provided to farm sector in India? Discuss the issues raised by the World Trade Organization (WTO) in relation to agricultural subsidies.,15,2023,Agriculture,"subsidies, WTO"
